,S_Pedro,S_Santiago,S_Juan,S_Andrés,S_Bartolomé,S_Tiago,S_Isca,S_Tadeo,S_Mateo,S_Felipe,S_Simón,S_Tomás
2020-09-23 14:00:00,0.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
2020-09-23 14:01:00,-0.5,-1.0,-1.0,0.5,1.0,-0.5,-0.5,-1.0,0.5,0.0,-1.5,-0.5
2020-09-23 14:02:00,-0.6666666666666666,-1.3333333333333333,-1.3333333333333333,0.3333333333333333,0.6666666666666666,-0.6666666666666666,-0.6666666666666666,-1.0,0.6666666666666666,0.0,-1.3333333333333333,-0.6666666666666666
2020-09-23 14:03:00,-1.0,-1.75,-1.25,0.25,0.75,-0.75,-0.5,-0.75,0.75,0.0,-1.25,-0.75
2020-09-23 14:04:00,-1.2,-2.0,-1.4,0.0,0.8,-0.8,-0.2,-0.6,0.6,0.0,-1.4,-1.0
2020-09-23 14:05:00,-1.1666666666666667,-2.0,-1.6666666666666667,-0.16666666666666666,1.0,-0.6666666666666666,0.16666666666666666,-0.5,0.5,0.16666666666666666,-1.6666666666666667,-1.0
2020-09-23 14:06:00,-1.1428571428571428,-1.8571428571428572,-1.7142857142857142,-0.2857142857142857,1.2857142857142858,-0.42857142857142855,0.42857142857142855,-0.5714285714285714,0.2857142857142857,0.42857142857142855,-1.7142857142857142,-1.1428571428571428
2020-09-23 14:07:00,-1.0,-1.625,-1.625,-0.25,1.625,-0.25,0.75,-0.75,0.125,0.625,-1.625,-1.125
2020-09-23 14:08:00,-1.0,-1.4444444444444444,-1.6666666666666667,-0.2222222222222222,1.8888888888888888,-0.1111111111111111,1.1111111111111112,-0.8888888888888888,-0.1111111111111111,0.8888888888888888,-1.6666666666666667,-1.2222222222222223
2020-09-23 14:09:00,-0.9,-1.2,-1.8,-0.1,2.0,0.1,1.4,-1.0,-0.4,1.2,-1.8,-1.4
2020-09-23 14:10:00,-0.7272727272727273,-1.0,-1.9090909090909092,0.09090909090909091,2.1818181818181817,0.18181818181818182,1.7272727272727273,-1.0909090909090908,-0.5454545454545454,1.4545454545454546,-1.8181818181818181,-1.5454545454545454
2020-09-23 14:11:00,-0.5833333333333334,-0.75,-2.0833333333333335,0.16666666666666666,2.4166666666666665,0.16666666666666666,2.0833333333333335,-1.1666666666666667,-0.75,1.6666666666666667,-1.9166666666666667,-1.6666666666666667
2020-09-23 14:12:00,-0.5384615384615384,-0.46153846153846156,-2.1538461538461537,0.23076923076923078,2.6153846153846154,0.07692307692307693,2.4615384615384617,-1.3076923076923077,-0.8461538461538461,1.8461538461538463,-2.076923076923077,-1.8461538461538463
2020-09-23 14:13:00,-0.5,-0.14285714285714285,-2.2142857142857144,0.2857142857142857,2.7857142857142856,-0.07142857142857142,2.7857142857142856,-1.4285714285714286,-1.0,2.0,-2.142857142857143,-1.9285714285714286
2020-09-23 14:14:00,-0.5333333333333333,0.2,-2.3333333333333335,0.3333333333333333,3.0,-0.13333333333333333,3.066666666666667,-1.4666666666666666,-1.0666666666666667,2.1333333333333333,-2.2666666666666666,-2.066666666666667
2020-09-23 14:15:00,-0.5,0.5,-2.5,0.4375,3.125,-0.1875,3.375,-1.4375,-1.1875,2.25,-2.375,-2.125
2020-09-23 14:16:00,-0.4117647058823529,0.7647058823529411,-2.7058823529411766,0.47058823529411764,3.176470588235294,-0.29411764705882354,3.6470588235294117,-1.3529411764705883,-1.2352941176470589,2.3529411764705883,-2.4705882352941178,-2.1176470588235294
2020-09-23 14:17:00,-0.3333333333333333,1.0555555555555556,-2.8333333333333335,0.5,3.2777777777777777,-0.3888888888888889,3.888888888888889,-1.2222222222222223,-1.2777777777777777,2.388888888888889,-2.5555555555555554,-2.0555555555555554
2020-09-23 14:18:00,-0.21052631578947367,1.3157894736842106,-3.0,0.5789473684210527,3.3157894736842106,-0.47368421052631576,4.052631578947368,-1.0526315789473684,-1.368421052631579,2.473684210526316,-2.6842105263157894,-2.0
2020-09-23 14:19:00,-0.1,1.6,-3.15,0.65,3.35,-0.6,4.2,-0.95,-1.5,2.5,-2.75,-1.9
2020-09-23 14:20:00,0.0,1.8095238095238095,-3.3333333333333335,0.7142857142857143,3.3333333333333335,-0.7142857142857143,4.333333333333333,-0.8571428571428571,-1.5714285714285714,2.4761904761904763,-2.761904761904762,-1.8571428571428572
2020-09-23 14:21:00,0.13636363636363635,2.0,-3.5,0.7727272727272727,3.3181818181818183,-0.8181818181818182,4.409090909090909,-0.7272727272727273,-1.5909090909090908,2.5,-2.727272727272727,-1.7727272727272727
2020-09-23 14:22:00,0.2608695652173913,2.217391304347826,-3.608695652173913,0.8260869565217391,3.3043478260869565,-0.9130434782608695,4.521739130434782,-0.6086956521739131,-1.565217391304348,2.4782608695652173,-2.739130434782609,-1.6956521739130435
2020-09-23 14:23:00,0.3333333333333333,2.4166666666666665,-3.7083333333333335,0.875,3.2916666666666665,-1.0,4.666666666666667,-0.4583333333333333,-1.5833333333333333,2.4166666666666665,-2.7916666666666665,-1.6666666666666667
2020-09-23 14:24:00,0.44,2.64,-3.84,0.92,3.24,-1.08,4.76,-0.28,-1.56,2.4,-2.8,-1.68
2020-09-23 14:25:00,0.5769230769230769,2.8461538461538463,-4.0,0.9615384615384616,3.230769230769231,-1.1153846153846154,4.846153846153846,-0.11538461538461539,-1.5384615384615385,2.3846153846153846,-2.8461538461538463,-1.6538461538461537
2020-09-23 14:26:00,0.7037037037037037,3.037037037037037,-4.111111111111111,1.037037037037037,3.2222222222222223,-1.1111111111111112,4.888888888888889,0.0,-1.5185185185185186,2.4074074074074074,-2.925925925925926,-1.6666666666666667
2020-09-23 14:27:00,0.8571428571428571,3.1785714285714284,-4.214285714285714,1.0714285714285714,3.25,-1.1071428571428572,4.928571428571429,0.10714285714285714,-1.5357142857142858,2.4642857142857144,-3.0357142857142856,-1.7142857142857142
2020-09-23 14:28:00,1.0,3.2758620689655173,-4.310344827586207,1.103448275862069,3.310344827586207,-1.0689655172413792,5.0,0.1724137931034483,-1.5517241379310345,2.5517241379310347,-3.1379310344827585,-1.7241379310344827
2020-09-23 14:29:00,1.1,3.3333333333333335,-4.4,1.1666666666666667,3.3666666666666667,-1.0666666666666667,5.1,0.23333333333333334,-1.5333333333333334,2.6,-3.2666666666666666,-1.7666666666666666
2020-09-23 14:30:00,1.1612903225806452,3.3548387096774195,-4.451612903225806,1.2580645161290323,3.4516129032258065,-1.064516129032258,5.193548387096774,0.2903225806451613,-1.5161290322580645,2.6129032258064515,-3.3870967741935485,-1.7741935483870968
2020-09-23 14:31:00,1.21875,3.34375,-4.53125,1.34375,3.53125,-1.0625,5.3125,0.34375,-1.53125,2.59375,-3.46875,-1.75
2020-09-23 14:32:00,1.2424242424242424,3.303030303030303,-4.606060606060606,1.393939393939394,3.5757575757575757,-1.0909090909090908,5.393939393939394,0.42424242424242425,-1.5151515151515151,2.606060606060606,-3.515151515151515,-1.7575757575757576
2020-09-23 14:33:00,1.2352941176470589,3.2941176470588234,-4.705882352941177,1.4411764705882353,3.588235294117647,-1.088235294117647,5.470588235294118,0.5,-1.5,2.6176470588235294,-3.5588235294117645,-1.7647058823529411
2020-09-23 14:34:00,1.2,3.3142857142857145,-4.771428571428571,1.4857142857142858,3.6285714285714286,-1.1142857142857143,5.542857142857143,0.5714285714285714,-1.5142857142857142,2.6,-3.5714285714285716,-1.7428571428571429
2020-09-23 14:35:00,1.1388888888888888,3.3055555555555554,-4.861111111111111,1.5,3.638888888888889,-1.1111111111111112,5.638888888888889,0.6666666666666666,-1.5,2.5833333333333335,-3.611111111111111,-1.6944444444444444
2020-09-23 14:36:00,1.1081081081081081,3.27027027027027,-4.918918918918919,1.5405405405405406,3.6486486486486487,-1.135135135135135,5.72972972972973,0.7567567567567568,-1.4864864864864864,2.5945945945945947,-3.675675675675676,-1.6756756756756757
2020-09-23 14:37:00,1.0789473684210527,3.236842105263158,-5.0,1.605263157894737,3.6578947368421053,-1.1842105263157894,5.7894736842105265,0.8421052631578947,-1.4736842105263157,2.6052631578947367,-3.736842105263158,-1.6842105263157894
2020-09-23 14:38:00,1.0256410256410255,3.230769230769231,-5.076923076923077,1.6923076923076923,3.641025641025641,-1.2307692307692308,5.82051282051282,0.9230769230769231,-1.4615384615384615,2.6153846153846154,-3.769230769230769,-1.6923076923076923
2020-09-23 14:39:00,1.0,3.225,-5.175,1.775,3.6,-1.275,5.875,0.975,-1.425,2.625,-3.775,-1.725
2020-09-23 14:40:00,0.9512195121951219,3.1951219512195124,-5.2682926829268295,1.8780487804878048,3.5853658536585367,-1.3170731707317074,5.902439024390244,1.0,-1.3902439024390243,2.6097560975609757,-3.7560975609756095,-1.7804878048780488
2020-09-23 14:41:00,0.8809523809523809,3.1904761904761907,-5.357142857142857,1.9761904761904763,3.5952380952380953,-1.3571428571428572,5.928571428571429,1.0476190476190477,-1.3333333333333333,2.619047619047619,-3.7142857142857144,-1.8333333333333333
2020-09-23 14:42:00,0.813953488372093,3.186046511627907,-5.465116279069767,2.046511627906977,3.5813953488372094,-1.3953488372093024,5.930232558139535,1.1162790697674418,-1.255813953488372,2.604651162790698,-3.6511627906976742,-1.9069767441860466
2020-09-23 14:43:00,0.7272727272727273,3.1818181818181817,-5.590909090909091,2.090909090909091,3.5454545454545454,-1.4318181818181819,5.909090909090909,1.2045454545454546,-1.1590909090909092,2.6136363636363638,-3.5681818181818183,-1.9772727272727273
2020-09-23 14:44:00,0.6444444444444445,3.1777777777777776,-5.711111111111111,2.1555555555555554,3.533333333333333,-1.4444444444444444,5.866666666666666,1.2666666666666666,-1.0888888888888888,2.6,-3.488888888888889,-2.0444444444444443
2020-09-23 14:45:00,0.6,3.2666666666666666,-5.955555555555556,2.2444444444444445,3.6,-1.4444444444444444,5.955555555555556,1.3555555555555556,-1.0222222222222221,2.6222222222222222,-3.4444444444444446,-2.111111111111111
2020-09-23 14:46:00,0.5555555555555556,3.3555555555555556,-6.177777777777778,2.3555555555555556,3.6444444444444444,-1.488888888888889,6.044444444444444,1.4666666666666666,-1.0,2.6444444444444444,-3.3555555555555556,-2.2222222222222223
2020-09-23 14:47:00,0.4888888888888889,3.4444444444444446,-6.4,2.4444444444444446,3.688888888888889,-1.5333333333333334,6.133333333333334,1.5555555555555556,-0.9777777777777777,2.6666666666666665,-3.2888888888888888,-2.3333333333333335
2020-09-23 14:48:00,0.4444444444444444,3.533333333333333,-6.622222222222222,2.533333333333333,3.7333333333333334,-1.5777777777777777,6.177777777777778,1.6,-0.9777777777777777,2.6666666666666665,-3.2,-2.422222222222222
2020-09-23 14:49:00,0.4222222222222222,3.6444444444444444,-6.822222222222222,2.6666666666666665,3.7555555555555555,-1.6222222222222222,6.2,1.6666666666666667,-0.9555555555555556,2.688888888888889,-3.066666666666667,-2.511111111111111
2020-09-23 14:50:00,0.37777777777777777,3.7111111111111112,-7.0,2.8222222222222224,3.7777777777777777,-1.711111111111111,6.2,1.7555555555555555,-0.9555555555555556,2.6666666666666665,-2.911111111111111,-2.6444444444444444
2020-09-23 14:51:00,0.3111111111111111,3.7333333333333334,-7.222222222222222,3.0,3.7555555555555555,-1.8222222222222222,6.2,1.8888888888888888,-0.9333333333333333,2.6222222222222222,-2.7555555555555555,-2.7333333333333334
2020-09-23 14:52:00,0.24444444444444444,3.7555555555555555,-7.488888888888889,3.1555555555555554,3.688888888888889,-1.9333333333333333,6.177777777777778,2.0444444444444443,-0.8888888888888888,2.577777777777778,-2.6,-2.8666666666666667
2020-09-23 14:53:00,0.17777777777777778,3.8,-7.733333333333333,3.3333333333333335,3.6,-2.066666666666667,6.155555555555556,2.1777777777777776,-0.8222222222222222,2.488888888888889,-2.422222222222222,-2.9555555555555557
2020-09-23 14:54:00,0.1111111111111111,3.8444444444444446,-7.955555555555556,3.488888888888889,3.511111111111111,-2.2444444444444445,6.155555555555556,2.3333333333333335,-0.7111111111111111,2.3555555555555556,-2.2444444444444445,-3.0
2020-09-23 14:55:00,0.0,3.911111111111111,-8.177777777777777,3.6222222222222222,3.4,-2.4,6.133333333333334,2.466666666666667,-0.6222222222222222,2.2,-2.111111111111111,-3.022222222222222
2020-09-23 14:56:00,-0.13333333333333333,3.9555555555555557,-8.377777777777778,3.8,3.2666666666666666,-2.5555555555555554,6.066666666666666,2.6,-0.5333333333333333,2.022222222222222,-1.9555555555555555,-3.0444444444444443
